image_path,text_description,label
waste_dataset\cardboard\000367.jpg,old cardboard packaging garbage item,cardboard
waste_dataset\paper\000110.jpg,recycled paper material waste object,paper
waste_dataset\glass\000127.jpg,broken glass item for recycling,glass
waste_dataset\paper\000002.jpg,recycled paper material waste object,paper
waste_dataset\metal\000417.jpg,used tin can discarded as waste,metal
waste_dataset\trash\000319.jpg,mixed garbage non recyclable material,trash
waste_dataset\paper\000039.jpg,paper waste item found in garbage,paper
waste_dataset\cardboard\000204.jpg,old cardboard packaging garbage item,cardboard
waste_dataset\plastic\000019.jpg,plastic packaging thrown in trash bin,plastic
waste_dataset\cardboard\000121.jpg,empty cardboard box thrown away,cardboard
waste_dataset\cardboard\000284.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\glass\000147.jpg,clear glass waste material in trash,glass
waste_dataset\paper\000059.jpg,paper waste item found in garbage,paper
waste_dataset\paper\000281.jpg,used newspaper or paper in trash bin,paper
waste_dataset\cardboard\000276.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\plastic\000283.jpg,empty plastic bottle waste object,plastic
waste_dataset\plastic\000214.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\cardboard\000361.jpg,used cardboard carton for recycling,cardboard
waste_dataset\trash\000332.jpg,mixed waste garbage object found,trash
waste_dataset\glass\000374.jpg,clear glass waste material in trash,glass
waste_dataset\metal\000102.jpg,a crushed metal can in trash,metal
waste_dataset\glass\000201.jpg,recycled glass waste object found,glass
waste_dataset\paper\000309.jpg,a crumpled piece of paper waste,paper
waste_dataset\trash\000096.jpg,general trash item discarded,trash
waste_dataset\cardboard\000287.jpg,empty cardboard box thrown away,cardboard
waste_dataset\metal\000053.jpg,used tin can discarded as waste,metal
waste_dataset\plastic\000286.jpg,plastic bag found in garbage waste,plastic
waste_dataset\metal\000093.jpg,a crushed metal can in trash,metal
waste_dataset\cardboard\000424.jpg,empty cardboard box thrown away,cardboard
waste_dataset\plastic\000141.jpg,plastic packaging thrown in trash bin,plastic
waste_dataset\paper\000014.jpg,old paper document thrown away,paper
waste_dataset\paper\000347.jpg,torn paper piece in waste bin,paper
waste_dataset\metal\000041.jpg,old metal container waste material,metal
waste_dataset\cardboard\000066.jpg,empty cardboard box thrown away,cardboard
waste_dataset\paper\000406.jpg,used newspaper or paper in trash bin,paper
waste_dataset\plastic\000331.jpg,plastic waste item for recycling,plastic
waste_dataset\paper\000010.jpg,paper waste item found in garbage,paper
waste_dataset\trash\000196.jpg,mixed waste garbage object found,trash
waste_dataset\cardboard\000231.jpg,empty cardboard box thrown away,cardboard
waste_dataset\paper\000335.jpg,used newspaper or paper in trash bin,paper
waste_dataset\glass\000320.jpg,empty glass bottle discarded waste,glass
waste_dataset\metal\000373.jpg,used tin can discarded as waste,metal
waste_dataset\metal\000094.jpg,used tin can discarded as waste,metal
waste_dataset\trash\000025.jpg,general household waste item found,trash
waste_dataset\plastic\000104.jpg,used plastic container discarded waste,plastic
waste_dataset\plastic\000127.jpg,discarded plastic material waste item,plastic
waste_dataset\metal\000260.jpg,recycled metal can garbage item found,metal
waste_dataset\cardboard\000375.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\plastic\000174.jpg,empty plastic bottle waste object,plastic
waste_dataset\paper\000286.jpg,old paper document thrown away,paper
waste_dataset\metal\000428.jpg,recycled metal can garbage item found,metal
waste_dataset\cardboard\000298.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\glass\000170.jpg,empty glass bottle discarded waste,glass
waste_dataset\plastic\000091.jpg,plastic bag found in garbage waste,plastic
waste_dataset\cardboard\000100.jpg,cardboard material discarded in bin,cardboard
waste_dataset\plastic\000217.jpg,plastic packaging thrown in trash bin,plastic
waste_dataset\trash\000136.jpg,general household waste item found,trash
waste_dataset\metal\000426.jpg,used tin can discarded as waste,metal
waste_dataset\glass\000101.jpg,broken glass item for recycling,glass
waste_dataset\metal\000425.jpg,metal container for recycling bin,metal
waste_dataset\paper\000319.jpg,torn paper piece in waste bin,paper
waste_dataset\metal\000396.jpg,empty metal can thrown away,metal
waste_dataset\glass\000208.jpg,glass jar or bottle thrown away,glass
waste_dataset\trash\000113.jpg,general waste material discarded,trash
waste_dataset\cardboard\000186.jpg,recycled cardboard box material waste,cardboard
waste_dataset\paper\000147.jpg,recycled paper material waste object,paper
waste_dataset\trash\000079.jpg,mixed garbage non recyclable material,trash
waste_dataset\plastic\000036.jpg,plastic bag found in garbage waste,plastic
waste_dataset\metal\000126.jpg,recycled metal can garbage item found,metal
waste_dataset\plastic\000110.jpg,plastic waste item for recycling,plastic
waste_dataset\glass\000083.jpg,glass container discarded as garbage,glass
waste_dataset\metal\000413.jpg,a crushed metal can in trash,metal
waste_dataset\paper\000142.jpg,paper waste item found in garbage,paper
waste_dataset\plastic\000077.jpg,plastic bag found in garbage waste,plastic
waste_dataset\plastic\000394.jpg,discarded plastic material waste item,plastic
waste_dataset\glass\000179.jpg,glass jar or bottle thrown away,glass
waste_dataset\paper\000109.jpg,torn paper piece in waste bin,paper
waste_dataset\metal\000021.jpg,empty metal can thrown away,metal
waste_dataset\cardboard\000152.jpg,empty cardboard box thrown away,cardboard
waste_dataset\plastic\000156.jpg,plastic waste item for recycling,plastic
waste_dataset\trash\000138.jpg,household garbage thrown away,trash
waste_dataset\metal\000296.jpg,aluminum or steel waste item found,metal
waste_dataset\metal\000078.jpg,empty metal can thrown away,metal
waste_dataset\trash\000192.jpg,general trash item discarded,trash
waste_dataset\cardboard\000024.jpg,used cardboard carton for recycling,cardboard
waste_dataset\cardboard\000159.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\cardboard\000332.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\plastic\000043.jpg,discarded plastic material waste item,plastic
waste_dataset\trash\000305.jpg,general household waste item found,trash
waste_dataset\plastic\000049.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\plastic\000315.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\trash\000368.jpg,random waste item in trash bin,trash
waste_dataset\paper\000036.jpg,used newspaper or paper in trash bin,paper
waste_dataset\glass\000214.jpg,a glass bottle found in waste bin,glass
waste_dataset\paper\000001.jpg,white paper material discarded waste,paper
waste_dataset\cardboard\000312.jpg,recycled cardboard box material waste,cardboard
waste_dataset\cardboard\000352.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\glass\000120.jpg,glass container discarded as garbage,glass
waste_dataset\paper\000112.jpg,recycled paper material waste object,paper
waste_dataset\paper\000093.jpg,paper waste item found in garbage,paper
waste_dataset\metal\000313.jpg,aluminum or steel waste item found,metal
waste_dataset\cardboard\000307.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\cardboard\000288.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\glass\000266.jpg,glass jar or bottle thrown away,glass
waste_dataset\paper\000216.jpg,a crumpled piece of paper waste,paper
waste_dataset\glass\000202.jpg,a glass bottle found in waste bin,glass
waste_dataset\plastic\000351.jpg,plastic waste item for recycling,plastic
waste_dataset\plastic\000145.jpg,used plastic container discarded waste,plastic
waste_dataset\metal\000404.jpg,used tin can discarded as waste,metal
waste_dataset\paper\000148.jpg,white paper material discarded waste,paper
waste_dataset\paper\000027.jpg,torn paper piece in waste bin,paper
waste_dataset\plastic\000240.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\paper\000350.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\plastic\000322.jpg,plastic waste recycling object found,plastic
waste_dataset\paper\000135.jpg,a crumpled piece of paper waste,paper
waste_dataset\plastic\000250.jpg,plastic packaging thrown in trash bin,plastic
waste_dataset\paper\000423.jpg,torn paper piece in waste bin,paper
waste_dataset\metal\000340.jpg,used tin can discarded as waste,metal
waste_dataset\cardboard\000014.jpg,empty cardboard box thrown away,cardboard
waste_dataset\metal\000141.jpg,empty metal can thrown away,metal
waste_dataset\paper\000166.jpg,white paper material discarded waste,paper
waste_dataset\glass\000086.jpg,glass container discarded as garbage,glass
waste_dataset\cardboard\000410.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\paper\000304.jpg,used newspaper or paper in trash bin,paper
waste_dataset\cardboard\000314.jpg,empty cardboard box thrown away,cardboard
waste_dataset\plastic\000204.jpg,plastic bag found in garbage waste,plastic
waste_dataset\paper\000190.jpg,recycled paper material waste object,paper
waste_dataset\glass\000336.jpg,glass jar or bottle thrown away,glass
waste_dataset\metal\000062.jpg,used tin can discarded as waste,metal
waste_dataset\metal\000092.jpg,used tin can discarded as waste,metal
waste_dataset\cardboard\000383.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\paper\000215.jpg,a crumpled piece of paper waste,paper
waste_dataset\paper\000384.jpg,recycled paper material waste object,paper
waste_dataset\glass\000337.jpg,broken glass item for recycling,glass
waste_dataset\metal\000051.jpg,a crushed metal can in trash,metal
waste_dataset\metal\000198.jpg,steel or aluminum waste object,metal
waste_dataset\trash\000197.jpg,mixed waste garbage object found,trash
waste_dataset\cardboard\000264.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\trash\000123.jpg,non recyclable waste object in bin,trash
waste_dataset\trash\000076.jpg,mixed garbage non recyclable material,trash
waste_dataset\glass\000380.jpg,empty glass bottle discarded waste,glass
waste_dataset\cardboard\000416.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\metal\000293.jpg,recycled metal can garbage item found,metal
waste_dataset\cardboard\000359.jpg,empty cardboard box thrown away,cardboard
waste_dataset\metal\000361.jpg,recycled metal can garbage item found,metal
waste_dataset\metal\000050.jpg,steel or aluminum waste object,metal
waste_dataset\cardboard\000009.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\metal\000218.jpg,recycled metal can garbage item found,metal
waste_dataset\cardboard\000317.jpg,recycled cardboard box material waste,cardboard
waste_dataset\cardboard\000305.jpg,used cardboard carton for recycling,cardboard
waste_dataset\cardboard\000428.jpg,old cardboard packaging garbage item,cardboard
waste_dataset\cardboard\000106.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\trash\000331.jpg,mixed garbage non recyclable material,trash
waste_dataset\cardboard\000122.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\trash\000418.jpg,non recyclable waste object in bin,trash
waste_dataset\paper\000312.jpg,a crumpled piece of paper waste,paper
waste_dataset\glass\000393.jpg,broken glass item for recycling,glass
waste_dataset\paper\000078.jpg,recycled paper material waste object,paper
waste_dataset\plastic\000107.jpg,plastic waste item for recycling,plastic
waste_dataset\metal\000423.jpg,steel or aluminum waste object,metal
waste_dataset\cardboard\000116.jpg,cardboard material discarded in bin,cardboard
waste_dataset\plastic\000024.jpg,plastic waste item for recycling,plastic
waste_dataset\glass\000316.jpg,shattered glass piece in garbage bin,glass
waste_dataset\plastic\000249.jpg,plastic waste item for recycling,plastic
waste_dataset\trash\000251.jpg,general waste material discarded,trash
waste_dataset\plastic\000193.jpg,plastic waste item for recycling,plastic
waste_dataset\plastic\000318.jpg,plastic waste item for recycling,plastic
waste_dataset\glass\000244.jpg,glass jar or bottle thrown away,glass
waste_dataset\trash\000223.jpg,general household waste item found,trash
waste_dataset\metal\000191.jpg,a crushed metal can in trash,metal
waste_dataset\paper\000401.jpg,torn paper piece in waste bin,paper
waste_dataset\cardboard\000310.jpg,old cardboard packaging garbage item,cardboard
waste_dataset\glass\000163.jpg,glass jar or bottle thrown away,glass
waste_dataset\glass\000034.jpg,broken glass item for recycling,glass
waste_dataset\metal\000166.jpg,aluminum or steel waste item found,metal
waste_dataset\metal\000217.jpg,empty metal can thrown away,metal
waste_dataset\metal\000403.jpg,used tin can discarded as waste,metal
waste_dataset\metal\000111.jpg,metal container for recycling bin,metal
waste_dataset\glass\000124.jpg,glass container discarded as garbage,glass
waste_dataset\cardboard\000088.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\glass\000262.jpg,clear glass waste material in trash,glass
waste_dataset\plastic\000023.jpg,plastic waste item for recycling,plastic
waste_dataset\paper\000156.jpg,old paper document thrown away,paper
waste_dataset\trash\000330.jpg,mixed garbage non recyclable material,trash
waste_dataset\paper\000376.jpg,paper waste item found in garbage,paper
waste_dataset\metal\000349.jpg,a crushed metal can in trash,metal
waste_dataset\glass\000372.jpg,broken glass item for recycling,glass
waste_dataset\plastic\000374.jpg,used plastic container discarded waste,plastic
waste_dataset\cardboard\000301.jpg,old cardboard packaging garbage item,cardboard
waste_dataset\metal\000247.jpg,recycled metal can garbage item found,metal
waste_dataset\glass\000115.jpg,glass jar or bottle thrown away,glass
waste_dataset\plastic\000092.jpg,plastic bag found in garbage waste,plastic
waste_dataset\trash\000133.jpg,general household waste item found,trash
waste_dataset\glass\000066.jpg,glass jar or bottle thrown away,glass
waste_dataset\cardboard\000366.jpg,old cardboard packaging garbage item,cardboard
waste_dataset\trash\000175.jpg,mixed waste garbage object found,trash
waste_dataset\plastic\000207.jpg,plastic bag found in garbage waste,plastic
waste_dataset\cardboard\000274.jpg,recycled cardboard box material waste,cardboard
waste_dataset\glass\000360.jpg,clear glass waste material in trash,glass
waste_dataset\cardboard\000072.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\metal\000431.jpg,a crushed metal can in trash,metal
waste_dataset\plastic\000144.jpg,used plastic container discarded waste,plastic
waste_dataset\cardboard\000064.jpg,cardboard material discarded in bin,cardboard
waste_dataset\cardboard\000395.jpg,old cardboard packaging garbage item,cardboard
waste_dataset\metal\000031.jpg,empty metal can thrown away,metal
waste_dataset\cardboard\000344.jpg,empty cardboard box thrown away,cardboard
waste_dataset\paper\000133.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\paper\000139.jpg,used newspaper or paper in trash bin,paper
waste_dataset\glass\000072.jpg,glass jar or bottle thrown away,glass
waste_dataset\trash\000111.jpg,non recyclable waste object in bin,trash
waste_dataset\plastic\000239.jpg,discarded plastic material waste item,plastic
waste_dataset\glass\000249.jpg,clear glass waste material in trash,glass
waste_dataset\trash\000286.jpg,general household waste item found,trash
waste_dataset\plastic\000220.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\paper\000287.jpg,old paper document thrown away,paper
waste_dataset\cardboard\000273.jpg,empty cardboard box thrown away,cardboard
waste_dataset\plastic\000237.jpg,plastic waste recycling object found,plastic
waste_dataset\cardboard\000206.jpg,recycled cardboard box material waste,cardboard
waste_dataset\glass\000305.jpg,a glass bottle found in waste bin,glass
waste_dataset\cardboard\000153.jpg,empty cardboard box thrown away,cardboard
waste_dataset\metal\000043.jpg,recycled metal can garbage item found,metal
waste_dataset\glass\000129.jpg,glass jar or bottle thrown away,glass
waste_dataset\cardboard\000378.jpg,recycled cardboard box material waste,cardboard
waste_dataset\plastic\000106.jpg,plastic waste recycling object found,plastic
waste_dataset\glass\000107.jpg,glass jar or bottle thrown away,glass
waste_dataset\trash\000364.jpg,mixed garbage non recyclable material,trash
waste_dataset\plastic\000243.jpg,plastic waste recycling object found,plastic
waste_dataset\paper\000209.jpg,paper waste item found in garbage,paper
waste_dataset\cardboard\000199.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\glass\000133.jpg,empty glass bottle discarded waste,glass
waste_dataset\glass\000257.jpg,glass jar or bottle thrown away,glass
waste_dataset\paper\000429.jpg,old paper document thrown away,paper
waste_dataset\glass\000162.jpg,recycled glass waste object found,glass
waste_dataset\glass\000091.jpg,glass container discarded as garbage,glass
waste_dataset\cardboard\000309.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\glass\000176.jpg,recycled glass waste object found,glass
waste_dataset\trash\000071.jpg,general trash item discarded,trash
waste_dataset\paper\000345.jpg,old paper document thrown away,paper
waste_dataset\cardboard\000060.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\glass\000155.jpg,empty glass bottle discarded waste,glass
waste_dataset\plastic\000055.jpg,used plastic container discarded waste,plastic
waste_dataset\cardboard\000208.jpg,empty cardboard box thrown away,cardboard
waste_dataset\glass\000063.jpg,shattered glass piece in garbage bin,glass
waste_dataset\metal\000073.jpg,used tin can discarded as waste,metal
waste_dataset\glass\000357.jpg,glass jar or bottle thrown away,glass
waste_dataset\metal\000219.jpg,used tin can discarded as waste,metal
waste_dataset\trash\000345.jpg,general trash item discarded,trash
waste_dataset\glass\000364.jpg,empty glass bottle discarded waste,glass
waste_dataset\glass\000403.jpg,recycled glass waste object found,glass
waste_dataset\cardboard\000163.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\paper\000065.jpg,recycled paper material waste object,paper
waste_dataset\glass\000098.jpg,clear glass waste material in trash,glass
waste_dataset\paper\000231.jpg,used newspaper or paper in trash bin,paper
waste_dataset\cardboard\000257.jpg,empty cardboard box thrown away,cardboard
waste_dataset\glass\000078.jpg,broken glass item for recycling,glass
waste_dataset\plastic\000290.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\trash\000037.jpg,mixed garbage non recyclable material,trash
waste_dataset\trash\000145.jpg,random waste item in trash bin,trash
waste_dataset\trash\000081.jpg,household garbage thrown away,trash
waste_dataset\metal\000064.jpg,empty metal can thrown away,metal
waste_dataset\trash\000297.jpg,general waste material discarded,trash
waste_dataset\plastic\000007.jpg,used plastic container discarded waste,plastic
waste_dataset\cardboard\000021.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\paper\000236.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\glass\000011.jpg,recycled glass waste object found,glass
waste_dataset\plastic\000262.jpg,plastic packaging thrown in trash bin,plastic
waste_dataset\cardboard\000382.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\paper\000107.jpg,old paper document thrown away,paper
waste_dataset\paper\000018.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\glass\000110.jpg,glass jar or bottle thrown away,glass
waste_dataset\metal\000085.jpg,empty metal can thrown away,metal
waste_dataset\plastic\000341.jpg,discarded plastic material waste item,plastic
waste_dataset\cardboard\000084.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\plastic\000186.jpg,plastic bag found in garbage waste,plastic
waste_dataset\metal\000388.jpg,a crushed metal can in trash,metal
waste_dataset\paper\000067.jpg,torn paper piece in waste bin,paper
waste_dataset\metal\000045.jpg,recycled metal can garbage item found,metal
waste_dataset\trash\000085.jpg,random waste item in trash bin,trash
waste_dataset\trash\000112.jpg,general waste material discarded,trash
waste_dataset\trash\000022.jpg,mixed garbage non recyclable material,trash
waste_dataset\metal\000048.jpg,used tin can discarded as waste,metal
waste_dataset\cardboard\000271.jpg,recycled cardboard box material waste,cardboard
waste_dataset\metal\000295.jpg,recycled metal can garbage item found,metal
waste_dataset\plastic\000272.jpg,plastic waste item for recycling,plastic
waste_dataset\plastic\000372.jpg,plastic waste item for recycling,plastic
waste_dataset\trash\000180.jpg,general trash item discarded,trash
waste_dataset\trash\000007.jpg,general trash item discarded,trash
waste_dataset\metal\000099.jpg,old metal container waste material,metal
waste_dataset\metal\000215.jpg,recycled metal can garbage item found,metal
waste_dataset\glass\000001.jpg,recycled glass waste object found,glass
waste_dataset\paper\000123.jpg,torn paper piece in waste bin,paper
waste_dataset\trash\000110.jpg,non recyclable waste object in bin,trash
waste_dataset\trash\000121.jpg,general waste material discarded,trash
waste_dataset\glass\000030.jpg,broken glass item for recycling,glass
waste_dataset\cardboard\000079.jpg,cardboard material discarded in bin,cardboard
waste_dataset\trash\000347.jpg,household garbage thrown away,trash
waste_dataset\plastic\000352.jpg,empty plastic bottle waste object,plastic
waste_dataset\cardboard\000033.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\metal\000068.jpg,empty metal can thrown away,metal
waste_dataset\metal\000279.jpg,a crushed metal can in trash,metal
waste_dataset\metal\000176.jpg,empty metal can thrown away,metal
waste_dataset\trash\000160.jpg,random waste item in trash bin,trash
waste_dataset\cardboard\000381.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\cardboard\000227.jpg,used cardboard carton for recycling,cardboard
waste_dataset\paper\000124.jpg,paper waste item found in garbage,paper
waste_dataset\plastic\000051.jpg,plastic bag found in garbage waste,plastic
waste_dataset\glass\000287.jpg,broken glass item for recycling,glass
waste_dataset\paper\000089.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\glass\000258.jpg,glass jar or bottle thrown away,glass
waste_dataset\trash\000048.jpg,mixed waste garbage object found,trash
waste_dataset\paper\000274.jpg,a crumpled piece of paper waste,paper
waste_dataset\cardboard\000306.jpg,empty cardboard box thrown away,cardboard
waste_dataset\cardboard\000210.jpg,cardboard material discarded in bin,cardboard
waste_dataset\trash\000070.jpg,mixed waste garbage object found,trash
waste_dataset\plastic\000002.jpg,plastic packaging thrown in trash bin,plastic
waste_dataset\trash\000396.jpg,random waste item in trash bin,trash
waste_dataset\plastic\000028.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\trash\000210.jpg,general waste material discarded,trash
waste_dataset\metal\000393.jpg,old metal container waste material,metal
waste_dataset\metal\000325.jpg,steel or aluminum waste object,metal
waste_dataset\trash\000222.jpg,general household waste item found,trash
waste_dataset\paper\000175.jpg,a crumpled piece of paper waste,paper
waste_dataset\metal\000210.jpg,used tin can discarded as waste,metal
waste_dataset\cardboard\000192.jpg,cardboard material discarded in bin,cardboard
waste_dataset\metal\000399.jpg,metal container for recycling bin,metal
waste_dataset\metal\000262.jpg,old metal container waste material,metal
waste_dataset\trash\000375.jpg,general waste material discarded,trash
waste_dataset\glass\000055.jpg,broken glass item for recycling,glass
waste_dataset\trash\000301.jpg,household garbage thrown away,trash
waste_dataset\metal\000077.jpg,steel or aluminum waste object,metal
waste_dataset\paper\000219.jpg,torn paper piece in waste bin,paper
waste_dataset\cardboard\000278.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\paper\000084.jpg,torn paper piece in waste bin,paper
waste_dataset\cardboard\000222.jpg,empty cardboard box thrown away,cardboard
waste_dataset\trash\000164.jpg,non recyclable waste object in bin,trash
waste_dataset\glass\000143.jpg,recycled glass waste object found,glass
waste_dataset\cardboard\000412.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\paper\000295.jpg,used newspaper or paper in trash bin,paper
waste_dataset\trash\000061.jpg,household garbage thrown away,trash
waste_dataset\paper\000176.jpg,torn paper piece in waste bin,paper
waste_dataset\glass\000157.jpg,empty glass bottle discarded waste,glass
waste_dataset\trash\000385.jpg,general waste material discarded,trash
waste_dataset\plastic\000169.jpg,empty plastic bottle waste object,plastic
waste_dataset\trash\000412.jpg,random waste item in trash bin,trash
waste_dataset\paper\000323.jpg,torn paper piece in waste bin,paper
waste_dataset\glass\000246.jpg,clear glass waste material in trash,glass
waste_dataset\plastic\000363.jpg,plastic bag found in garbage waste,plastic
waste_dataset\metal\000017.jpg,used tin can discarded as waste,metal
waste_dataset\glass\000019.jpg,shattered glass piece in garbage bin,glass
waste_dataset\trash\000140.jpg,general trash item discarded,trash
waste_dataset\metal\000348.jpg,recycled metal can garbage item found,metal
waste_dataset\cardboard\000223.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\plastic\000378.jpg,empty plastic bottle waste object,plastic
waste_dataset\trash\000142.jpg,non recyclable waste object in bin,trash
waste_dataset\paper\000389.jpg,paper waste item found in garbage,paper
waste_dataset\paper\000316.jpg,used newspaper or paper in trash bin,paper
waste_dataset\metal\000179.jpg,recycled metal can garbage item found,metal
waste_dataset\cardboard\000046.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\trash\000106.jpg,random waste item in trash bin,trash
waste_dataset\metal\000199.jpg,old metal container waste material,metal
waste_dataset\metal\000123.jpg,used tin can discarded as waste,metal
waste_dataset\cardboard\000295.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\metal\000347.jpg,empty metal can thrown away,metal
waste_dataset\metal\000150.jpg,aluminum or steel waste item found,metal
waste_dataset\glass\000160.jpg,glass container discarded as garbage,glass
waste_dataset\plastic\000365.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\cardboard\000258.jpg,cardboard material discarded in bin,cardboard
waste_dataset\metal\000387.jpg,aluminum or steel waste item found,metal
waste_dataset\paper\000024.jpg,old paper document thrown away,paper
waste_dataset\metal\000088.jpg,used tin can discarded as waste,metal
waste_dataset\trash\000035.jpg,household garbage thrown away,trash
waste_dataset\paper\000090.jpg,used newspaper or paper in trash bin,paper
waste_dataset\glass\000008.jpg,broken glass item for recycling,glass
waste_dataset\paper\000149.jpg,recycled paper material waste object,paper
waste_dataset\plastic\000048.jpg,plastic waste item for recycling,plastic
waste_dataset\cardboard\000394.jpg,old cardboard packaging garbage item,cardboard
waste_dataset\cardboard\000426.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\glass\000106.jpg,a glass bottle found in waste bin,glass
waste_dataset\cardboard\000031.jpg,recycled cardboard box material waste,cardboard
waste_dataset\paper\000054.jpg,recycled paper material waste object,paper
waste_dataset\plastic\000393.jpg,used plastic container discarded waste,plastic
waste_dataset\metal\000185.jpg,empty metal can thrown away,metal
waste_dataset\glass\000318.jpg,clear glass waste material in trash,glass
waste_dataset\plastic\000082.jpg,plastic waste item for recycling,plastic
waste_dataset\paper\000032.jpg,old paper document thrown away,paper
waste_dataset\paper\000403.jpg,old paper document thrown away,paper
waste_dataset\paper\000254.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\trash\000317.jpg,general household waste item found,trash
waste_dataset\trash\000129.jpg,mixed waste garbage object found,trash
waste_dataset\paper\000290.jpg,used newspaper or paper in trash bin,paper
waste_dataset\paper\000159.jpg,a crumpled piece of paper waste,paper
waste_dataset\metal\000385.jpg,used tin can discarded as waste,metal
waste_dataset\cardboard\000345.jpg,recycled cardboard box material waste,cardboard
waste_dataset\glass\000128.jpg,glass jar or bottle thrown away,glass
waste_dataset\paper\000182.jpg,old paper document thrown away,paper
waste_dataset\metal\000223.jpg,a crushed metal can in trash,metal
waste_dataset\trash\000146.jpg,random waste item in trash bin,trash
waste_dataset\glass\000142.jpg,empty glass bottle discarded waste,glass
waste_dataset\cardboard\000353.jpg,cardboard material discarded in bin,cardboard
waste_dataset\cardboard\000092.jpg,corrugated cardboard waste object found,cardboard
waste_dataset\trash\000023.jpg,household garbage thrown away,trash
waste_dataset\metal\000226.jpg,used tin can discarded as waste,metal
waste_dataset\metal\000212.jpg,used tin can discarded as waste,metal
waste_dataset\plastic\000227.jpg,plastic waste recycling object found,plastic
waste_dataset\plastic\000395.jpg,used plastic container discarded waste,plastic
waste_dataset\cardboard\000349.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\metal\000276.jpg,steel or aluminum waste object,metal
waste_dataset\plastic\000184.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\plastic\000009.jpg,a plastic bottle in garbage bin,plastic
waste_dataset\metal\000203.jpg,recycled metal can garbage item found,metal
waste_dataset\trash\000287.jpg,non recyclable waste object in bin,trash
waste_dataset\trash\000273.jpg,non recyclable waste object in bin,trash
waste_dataset\trash\000190.jpg,mixed waste garbage object found,trash
waste_dataset\glass\000025.jpg,clear glass waste material in trash,glass
waste_dataset\metal\000075.jpg,aluminum or steel waste item found,metal
waste_dataset\trash\000199.jpg,household garbage thrown away,trash
waste_dataset\cardboard\000038.jpg,cardboard material discarded in bin,cardboard
waste_dataset\metal\000136.jpg,empty metal can thrown away,metal
waste_dataset\plastic\000073.jpg,discarded plastic material waste item,plastic
waste_dataset\plastic\000059.jpg,plastic waste recycling object found,plastic
waste_dataset\cardboard\000040.jpg,old cardboard packaging garbage item,cardboard
waste_dataset\trash\000119.jpg,mixed garbage non recyclable material,trash
waste_dataset\plastic\000343.jpg,plastic waste recycling object found,plastic
waste_dataset\plastic\000103.jpg,used plastic container discarded waste,plastic
waste_dataset\metal\000268.jpg,aluminum or steel waste item found,metal
waste_dataset\trash\000012.jpg,random waste item in trash bin,trash
waste_dataset\glass\000206.jpg,a glass bottle found in waste bin,glass
waste_dataset\plastic\000328.jpg,plastic waste item for recycling,plastic
waste_dataset\glass\000151.jpg,glass container discarded as garbage,glass
